Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
PUT,3967.63,3979.53,-6.00,18,SL,24.4,2.5852,low,down,No,bearish,69.9,13.0,No,0.04,0.33,No,Yes,No,No,17,4
PUT,3983.04,3985.94,-1.46,30,TIMEOUT,70.1,1.8775,low,up,Yes,bearish,55.8,37.4,Yes,0.07,0.13,No,No,No,No,17,4
CALL,3993.72,3986.16,-3.79,30,TIMEOUT,59.0,0.9036,low,sideways,No,bullish,63.2,31.6,Yes,0.00,0.26,No,No,No,No,19,4
CALL,3982.36,3980.08,-1.15,30,TIMEOUT,40.4,1.2055,low,sideways,Yes,bullish,53.8,25.3,Yes,0.03,0.11,No,No,No,No,20,4
CALL,3978.86,3977.27,-0.80,30,TIMEOUT,37.9,0.7253,low,sideways,Yes,bullish,55.8,9.3,Yes,0.07,0.05,No,No,No,No,21,4
PUT,3977.24,3983.71,-3.25,90,TIMEOUT,36.9,0.7302,low,sideways,No,bearish,86.2,3.4,Yes,0.06,0.39,No,Yes,No,No,21,4
PUT,3995.19,3997.82,-1.32,30,TIMEOUT,70.3,1.5710,low,sideways,Yes,bearish,51.1,14.7,Yes,0.00,0.16,No,No,No,No,1,5
CALL,3997.86,3995.21,-1.33,30,TIMEOUT,34.3,1.1124,low,sideways,Yes,bullish,77.2,22.8,Yes,0.02,0.15,No,No,No,No,2,5
PUT,4006.18,4007.58,-0.70,30,TIMEOUT,35.3,1.4912,low,sideways,No,bearish,57.3,29.1,No,0.04,0.08,No,No,No,No,9,5
CALL,4005.49,4001.28,-2.10,30,TIMEOUT,47.2,1.6158,low,sideways,Yes,bullish,67.5,31.1,No,0.06,0.29,No,No,No,No,11,5
PUT,3995.96,3997.26,-0.65,30,TIMEOUT,46.5,1.5300,low,sideways,No,bearish,60.0,21.3,Yes,0.09,0.15,No,No,No,No,12,5
CALL,4018.09,4006.04,-6.00,25,SL,81.6,2.8020,low,up,No,bullish,57.5,2.2,No,0.23,0.31,No,Yes,No,No,16,5
PUT,4003.98,4005.47,-0.74,30,TIMEOUT,35.9,1.1826,low,sideways,No,bearish,79.3,11.6,No,0.05,0.11,No,No,No,No,19,5
CALL,4005.58,4001.06,-2.26,30,TIMEOUT,50.1,1.3151,low,sideways,No,bullish,77.8,22.2,Yes,0.00,0.27,No,No,No,No,20,5
PUT,4000.90,4012.90,-6.00,3073,SL,51.3,1.2727,low,sideways,Yes,bearish,73.7,17.1,Yes,0.04,3.70,No,Yes,No,No,20,5
CALL,4108.64,4106.61,-0.99,30,TIMEOUT,46.0,1.2448,low,sideways,Yes,bullish,76.3,21.3,Yes,0.03,0.23,No,No,No,No,5,3
CALL,4129.53,4128.55,-0.47,30,TIMEOUT,59.5,1.6187,low,sideways,No,bullish,72.6,27.4,Yes,0.10,0.05,No,No,No,No,8,3
CALL,4127.53,4125.85,-0.81,30,TIMEOUT,59.7,1.5604,low,sideways,No,bullish,54.4,19.7,No,0.01,0.23,No,No,No,No,10,3
CALL,4126.74,4124.99,-0.85,30,TIMEOUT,57.8,1.2124,low,sideways,No,bullish,69.2,11.2,No,0.11,0.05,No,No,No,No,10,3
PUT,4125.19,4127.11,-0.93,30,TIMEOUT,40.1,1.3123,low,sideways,No,bearish,83.3,6.4,No,0.04,0.09,No,No,No,No,11,3
PUT,4126.26,4136.39,-4.91,30,TIMEOUT,47.4,1.3827,low,sideways,No,bearish,56.1,33.3,Yes,0.03,0.28,No,No,No,No,11,3
PUT,4130.61,4132.78,-1.05,30,TIMEOUT,54.4,1.5285,low,sideways,Yes,bearish,58.3,26.2,Yes,0.15,0.18,No,No,No,No,13,3
PUT,4132.25,4138.34,-2.95,30,TIMEOUT,48.0,1.7440,low,sideways,No,bearish,74.9,25.1,No,0.17,0.18,No,No,No,No,14,3
PUT,4175.29,4187.82,-6.00,13,SL,49.5,2.9474,low,sideways,No,bearish,64.2,31.0,No,0.00,0.34,No,Yes,No,No,15,3
PUT,4193.72,4206.30,-6.00,22,SL,41.0,2.5174,low,sideways,No,bearish,68.0,4.9,No,0.01,0.31,No,Yes,No,No,17,3
PUT,4192.98,4197.89,-2.34,30,TIMEOUT,31.1,2.4584,low,down,No,bearish,50.7,23.7,No,0.01,0.18,No,No,No,No,19,3
CALL,4196.47,4194.58,-0.90,30,TIMEOUT,58.3,1.0072,low,sideways,No,bullish,78.0,19.5,No,0.14,0.05,No,No,No,No,21,3
CALL,4204.89,4194.68,-4.86,30,TIMEOUT,66.6,2.3608,low,up,No,bullish,63.3,1.3,No,0.07,0.27,No,No,No,No,23,3
CALL,4192.65,4189.42,-1.54,30,TIMEOUT,36.5,1.2442,low,sideways,Yes,bullish,63.4,31.2,Yes,0.02,0.12,No,No,No,No,23,3
CALL,4202.39,4189.78,-6.00,14,SL,49.6,2.4943,low,sideways,Yes,bullish,50.5,35.6,No,0.03,0.35,No,Yes,No,No,1,4
CALL,4190.43,4188.82,-0.77,30,TIMEOUT,46.1,2.7791,low,sideways,Yes,bullish,71.5,23.1,No,0.01,0.24,No,No,No,No,1,4
CALL,4193.56,4187.90,-2.70,30,TIMEOUT,63.1,2.3116,low,up,No,bullish,90.1,2.8,No,0.06,0.18,No,No,No,No,1,4
PUT,4200.99,4208.08,-3.38,30,TIMEOUT,59.3,1.9459,low,sideways,Yes,bearish,78.1,20.5,No,0.10,0.21,No,No,No,No,3,4
